DATA SOURCE ID,Focal point email,Focal point phone number,Focal point position,Health facility type,Other facility type,Affilation,Functionality,Primary Health Care Centre,Speciality,Hospital type,Teaching hospital,In-patient Capacity,Maximum Capacity,Isolation rooms wards,Number of isolation rooms,Warehousing,Cold chain,General medical services,Specialized medical beyond primary level,Other Services,Blood Services,Total number of Human Resource,General Practitioner,Specialist,Residents Doctor,Nurse,Dentist,Nursing Aid,Midwife,Other medical health workers,Other Profiles,Feedback,Other Affiliation,Professional Training Facilities,Ambulance Type A,Ambulance Type B,Ambulance Type C,Residential long term care facilities
11155484,E.Adams@drk.de,493085404108,,Training Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,Yes,No,,,,,28,0,5,5,3,0,0,2,No,,,,,,,,
11155642,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,59,0,0,0,0,0,0,0,No,,,,,,1,9,
11155641,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Public Government Facility,Fully Functional,,,,,,,,,,,,,,,13,0,0,0,0,0,0,0,No,,,,,,,,
11155640,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,40,0,0,0,0,0,0,0,No,,,,,,,4,
11155639,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,18,0,0,0,0,0,0,0,No,,,,,,,2,
11155638,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,10,0,0,0,0,0,0,0,No,,,,,,,1,
11155637,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,23,0,0,0,0,0,0,0,No,,,,,,,4,
11155636,E.Adams@drk.de,493085404108,,Training Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,No,No,,,,,11,0,0,0,11,0,0,0,No,,,,,,,,
11155634,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,140,0,0,0,0,0,0,0,No,,,,,,1,9,
11155633,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,191,0,0,0,0,0,0,0,No,,,,,6,0,20,
11155632,E.Adams@drk.de,493085404108,,Training Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,No,No,,,,,6,0,0,0,0,0,0,0,Yes,,,,,,,,
11155631,E.Adams@drk.de,493085404108,,Training Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,Yes,No,,,,,6,0,0,0,0,0,0,0,Yes,,,,,,,,
11155630,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,150,0,0,0,0,0,0,0,No,,,,,20,1,5,
11155629,E.Adams@drk.de,493085404108,,Residential Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,No,No,,,,,0,0,0,0,0,0,0,0,,,,,,,,,
11155628,E.Adams@drk.de,493085404108,,Residential Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,No,No,,,,,0,0,0,0,0,0,0,0,,,,,,,,,
11155627,E.Adams@drk.de,493085404108,,Residential Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,No,No,,,,,0,0,0,0,0,0,0,0,,,,,,,,,
11155626,E.Adams@drk.de,493085404108,,Residential Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,No,No,,,,,0,0,0,0,0,0,0,0,,,,,,,,,
11155625,E.Adams@drk.de,493085404108,,Residential Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,Yes,Yes,,,,,15,0,0,0,10,0,0,0,Yes,,,,,,,,
11155623,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Public Government Facility,Fully Functional,,,,,,,,,,,,,,,30,0,0,0,0,0,0,0,No,,,,,2,3,,
11155622,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Public Government Facility,Fully Functional,,,,,,,,,,,,,,,44,0,0,0,0,0,0,0,No,,,,,3,3,,
11155621,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,22,0,0,0,0,0,0,0,No,,,,,2,1,2,
11155620,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,102,0,0,0,0,0,0,0,No,,,,,3,,4,
11155617,E.Adams@drk.de,493085404108,,Residential Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,Yes,Yes,,,,,20,0,0,0,10,0,10,0,No,,,,,,,,
11155616,E.Adams@drk.de,493085404108,,Primary Health Care Centre,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,Yes,No,,,,,5,0,0,0,5,0,0,0,No,,,,,,,,
11155615,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,153,0,1,0,0,0,0,0,No,,,,,,,2,
11155613,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,36,0,0,0,0,0,0,0,No,,,,,6,,2,
