NAME_LOC,NAME_EN,TYPE,TYPECODE,SUBTYPE,LEVEL,LEVELCODE,POSTCODE,ADDRESS_LOC,ADDRESS_EN,CITY_LOC,CITY_EN,FOCAL_PERSON_LOC,FOCAL_PERSON_EN,TELEPHONE,EMAIL,WEBSITE,SOURCE_EN,SOURCE_LOC,LATITUDE,LONGITUDE,ISO3,COUNTRY,NATIONAL_SOCIETY,GOLOCALUNITID,NSLOCALUNITID,DATEOFUPDATE,VALIDATED,PUBLICVIEW
Cruz Vermelha - Órgão Central HQ,,Administrative,1,Office,Head Office,0,20230-130,"Praça Cruz Vermelha N° 10-12, Centro, Rio de Janeiro - RJ",,Rio de Janeiro - RJ,,Thiago Quintaneiro,,55 (21) 2507-3577 / 2507-3392,secretario.cooperacao@cvb.org.br,http://www.cruzvermelha.org.br/,,Brazilian Red Cross,-22.91111111,-43.1875,BRA,Brazil,Brazilian Red Cross,,,7-Feb-24,Yes,Yes
Cruz Vermelha - Órgão Central HQ - Brasília,,Administrative,1,Office,Head Office,0,70300-910,"Setor Comercial Sul (SCS), quadra 6, bloco A, nº 157, salas 502 e 503 - Edifício Bandeirantes, Asa Sul, Brasília-DF  ",,Brasília - DF,,Lourenço Braga,,55 (61) 99909-0761,secretario.geral@cvb.org.br,http://www.cruzvermelha.org.br/,,Brazilian Red Cross,-15.79638889,-47.88972222,BRA,Brazil,Brazilian Red Cross,,,7-Feb-24,Yes,Yes
Filial Alagoas,,Administrative,1,Office,Provincial,1,57035-530,"Av. Com. Gustavo de Paiva, 2889 - Mangabeiras, Maceió - AL",,Alagoas - AL,,Agarina Mendonça,,55 (82) 3325-2430,diretoria@cvbal.org.br,https://www.cruzvermelha.org.br/pb/filiais/alagoas/,,Brazilian Red Cross,-9.64777778,-35.71611111,BRA,Brazil,Brazilian Red Cross,,,7-Feb-24,Yes,Yes
Filial Amapá,,Administrative,1,Office,Provincial,1,68902-030,"R. Jovino Dinoa, 3868, Centro, Macapá - AP",,Amapá - AP,,Ana Célia Trindade,,55 (96) 99111-6656,cvbap@cvb.org.br,https://www.cruzvermelha.org.br/pb/tag/amapa/,,Brazilian Red Cross,0.01722222,-51.06138889,BRA,Brazil,Brazilian Red Cross,,,7-Feb-24,Yes,Yes
Filial Amazonas,,Administrative,1,Office,Provincial,1,69400-220,"Avenida Getulio Vargas, 381 - Centro, Manaus - AM",,Manaus - AM,,Mário Aníbal Gomes,,55 (92) 988551-3484,secretaria@cvbam.org,http://www.cruzvermelha.org.br/products/amazonas/,,Brazilian Red Cross,-3.13194444,-60.02083333,BRA,Brazil,Brazilian Red Cross,,,7-Feb-24,Yes,Yes
Filial Bahia,,Administrative,1,Office,Provincial,1,41100-800,"Av. Tancredo Neve, 1632, Caminho das Arvores, Salvador - BA",,Salvador - BA,,Eduardo Umbelino,,55 (71) 98105-0519,secretaria@cvbba.org.br,http://www.cruzvermelha.org.br/products/bahia/,,Brazilian Red Cross,-12.97916667,-38.45194444,BRA,Brazil,Brazilian Red Cross,,,7-Feb-24,Yes,Yes
Filial Ceará,,Administrative,1,Office,Provincial,1,60115-280,"Rua José Lourenço,3.280 Aldeota, Fortaleza - CE",,Fortaleza - CE,,Allan Gerson,,55 (85) 3182-3441,presidente@cvbce.com.br,http://www.cruzvermelha.org.br/products/ceara/,,Brazilian Red Cross,-3.73666667,-38.50833333,BRA,Brazil,Brazilian Red Cross,,,7-Feb-24,Yes,Yes
Filial Distrito Federal,,Administrative,1,Office,Provincial,1,70750-557,"SCLRN 715, Bloco C , Loja 25, Asa Norte, Brasília - DF",,Brasília - DF,,Ellen Marta,,55 (61) 3361-6904,secretaria@cvbb.org.br,http://www.cruzvermelha.org.br/products/distrito-federal/,,Brazilian Red Cross,-15.74361111,-47.89805556,BRA,Brazil,Brazilian Red Cross,,,7-Feb-24,Yes,Yes
Filial Maranhão,,Administrative,1,Office,Provincial,1,65036-170,"Av. Getúlio Vargas, 47 - Fabril, São Luis - MA",,São Luiz - MA,,Carlos Alberto,,55 (98) 3249-9712,presidencia.ma@cvb.org.br,http://www.cruzvermelha.org.br/products/maranhao/,,Brazilian Red Cross,-2.535,-44.27777778,BRA,Brazil,Brazilian Red Cross,,,7-Feb-24,Yes,Yes
Filial Mato Grosso,,Administrative,1,Office,Provincial,1,78055-000,"Av. Historiador Rubens de Mendonça, 5925, CPA I, Cuiabá - MT",,Cuiabá - MT,,Marcos Divino,,55 (65) 3641-2629,presidencia.mt@cvb.org.br,http://www.cruzvermelha.org.br/products/mato-grosso/,,Brazilian Red Cross,-15.55166667,-56.05527778,BRA,Brazil,Brazilian Red Cross,,,7-Feb-24,Yes,Yes
Filial Mato Grosso do Sul,,Administrative,1,Office,Provincial,1,79071-310,"Rua Barão de Melgaço, 58, Centro, Campo Grande - MS",,Campo Grande - MS,,Aline Jussara,,55 (67) 99894-6999,presidencia@cruzvermelhams.org.br,http://www.cruzvermelha.org.br/products/mato-grosso-do-sul/,,Brazilian Red Cross,-20.4675,-54.61277778,BRA,Brazil,Brazilian Red Cross,,,7-Feb-24,Yes,Yes
Filial Minas Gerais,,Administrative,1,Office,Provincial,1,30130-100,"Alameda Ezequiel Dias, 427- Centro, Belo Horizonte - MG",,Belo Horizonte - MG,,Ricardo Márcio,,55 (31) 3226-4233,presidencia.mg@cvb.org.br,http://www.cruzvermelha.org.br/products/minas-gerais/,,Brazilian Red Cross,-19.92611111,-43.93194444,BRA,Brazil,Brazilian Red Cross,,,7-Feb-24,Yes,Yes
Filial Pará,,Administrative,1,Office,Provincial,1,66095-494,"Travessa Baríão do Triunfo. Passagem Nossa Senhora das Graças, 58, Marco, Belém - PA",,Belém - PA,,Isaías Oscar,,55 (91) 3226-2556,presidente.cvbpa@cvb.org.br,http://www.cruzvermelha.org.br/products/para/,,Brazilian Red Cross,-1.45527778,-48.49333333,BRA,Brazil,Brazilian Red Cross,,,7-Feb-24,Yes,Yes
Filial Paraná,,Administrative,1,Office,Provincial,1,85812-010,"Rua Vicente Machado, 1.310, Centro, Curitiba - PR",,Curitiba - PR,,Leonardo Hanrique,,55 (41) 3016-6622,presidencia.pr@cvb.org.br,http://www.cruzvermelha.org.br/products/parana/,,Brazilian Red Cross,-25.43694444,-49.28944444,BRA,Brazil,Brazilian Red Cross,,,7-Feb-24,Yes,Yes
Filial Rio de Janeiro,,Administrative,1,Office,Provincial,1,20230-130,"Praça Cruz Vermelha N° 10-12, Centro, Rio de Janeiro - RJ",,Rio de Janeiro - RJ,,Flávia Aires,,55 (21) 96746-4448,compliance@cruzvermelharj.org.br,https://www.cruzvermelha.org.br/pb/filiais/rio-de-janeiro/,,Brazilian Red Cross,-22.91111111,-43.1875,BRA,Brazil,Brazilian Red Cross,,,7-Feb-24,Yes,Yes
Filial Rio Grande do Norte,,Administrative,1,Office,Provincial,1,59025-001,"Rua Dr. Manoel Augusto Bezerra de Araújo, 77, Ponta Negra, Natal - RN",,Natal - RN,,Kelyson de Lima ,,55 (84) 3201-6400,presidencia@cvbrn.org,http://www.cruzvermelha.org.br/products/rio-grande-do-norte/,,Brazilian Red Cross,-5.88194444,-35.1775,BRA,Brazil,Brazilian Red Cross,,,7-Feb-24,Yes,Yes
Filial Rio Grande do Sul,,Administrative,1,Office,Provincial,1,90035-077,"Av. Independência, 993, Independência, Porto Alegre - RS",,Porto Alegre - RS,,Pedro Moura ,,55 (21) 97492-9833,pedro.moura@cruzvermelharj.org.br,http://www.cruzvermelha.org.br/products/rio-grande-do-sul/,,Brazilian Red Cross,-30.02944444,-51.21111111,BRA,Brazil,Brazilian Red Cross,,,7-Feb-24,Yes,Yes
Filial Santa Catarina,,Administrative,1,Office,Provincial,1,88070-100,"Rua Santos Saraiva, 821, Estreito, Florianópolis - SC",,Florianópolis - SC,,Luiz Antônio ,,55 (48) 3244-6681,presidencia.sc@cvb.org.br,http://www.cruzvermelha.org.br/products/santa-catarina/,,Brazilian Red Cross,-27.59527778,-48.5825,BRA,Brazil,Brazilian Red Cross,,,7-Feb-24,Yes,Yes
Filial Sao Paulo,,Administrative,1,Office,Provincial,1,04074-031,"Av. Moreira Guimaríes, 699, Indianópolis, São Paulo - SP",,São Paulo - SP,,Jorge Wolney,,55 (11) 5056-8666,presidencia.sp@cvb.org.br,http://www.cruzvermelha.org.br/products/sao-paulo/,,Brazilian Red Cross,-23.6125,-46.65666667,BRA,Brazil,Brazilian Red Cross,,,7-Feb-24,Yes,Yes
Filial Sergipe,,Administrative,1,Office,Provincial,1,49015-130,"Praça Tobias Barreto, 132 Bairro São José, Aracaju - SE",,Aracajú - SE,,Lourenço Braga,,55 (61) 99909-0761,secretario.geral@cvb.org.br,http://www.cruzvermelha.org.br/products/sergipe/,,Brazilian Red Cross,-10.92694444,-37.05027778,BRA,Brazil,Brazilian Red Cross,,,7-Feb-24,Yes,Yes
Coordenação de Roraima ,,Administrative,1,Office,Ward,3,69304-350,"Av. Mário Homem de Melo, 2310 - Mecejana, Boa Vista - RR",,Boa Vista - RR,,Leila Marcia,,55 (95) 99122-1403,cvbrr@cvb.org.br,http://www.cruzvermelha.org.br/,,Brazilian Red Cross,2.82277778,-60.69388889,BRA,Brazil,Brazilian Red Cross,,,7-Feb-24,Yes,Yes
Hospital da Cruz Vermelha Brasileira Paraná,,Health Care,2,Hospital,,,80730-420,"Rua: Capitão Souza Franco, 50 - Batel, Curitiba - PR",,Curitiba - PR,,Leonardo Hanrique,,55 (41) 3016-6622,presidencia.pr@cvb.org.br,http://www.cruzvermelha.org.br/products/parana/,,Brazilian Red Cross,-25.43694444,-49.28944444,BRA,Brazil,Brazilian Red Cross,,,7-Feb-24,Yes,Yes
