NAME_LOC,NAME_EN,TYPE,TYPECODE,SUBTYPE,LEVEL,LEVELCODE,POSTCODE,ADDRESS_LOC,ADDRESS_EN,CITY_LOC,CITY_EN,FOCAL_PERSON_LOC,FOCAL_PERSON_EN,TELEPHONE,EMAIL,WEBSITE,SOURCE_EN,SOURCE_LOC,LATITUDE,LONGITUDE,ISO3,COUNTRY,NATIONAL_SOCIETY,GOLOCALUNITID,NSLOCALUNITID,DATEOFUPDATE,VALIDATED,PUBLICVIEW
U.S. Virgin Islands,U.S. Virgin Islands,Administrative,1,,Ward,3,,6035 Castle Coakley ,6035 Castle Coakley ,"Christiansted, VI,  00820","Christiansted, VI,  00820",,,340-778-5104,,,American Red Cross,American Red Cross,17.7224321,-64.7455403,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Greater Miami and the Keys Chapter (Regional Headquarters),Greater Miami and the Keys Chapter (Regional Headquarters),Administrative,1,Chapter,District,2,,335 SW 27th Avenue ,335 SW 27th Avenue ,"Miami, FL 33135","Miami, FL 33135",,,(305) 644-1200,,,American Red Cross,American Red Cross,25.7689598,-80.2386544,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Broward County Chapter,Broward County Chapter,Administrative,1,Chapter,District,2,,"3696 North Federal Highway, Suite 101","3696 North Federal Highway, Suite 101","Fort Lauderdale, FL 33308","Fort Lauderdale, FL 33308",,,(954) 797-3800,,,American Red Cross,American Red Cross,26.1727256,-80.1189392,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
South Texas,South Texas,Administrative,1,,Ward,3,,6914 W. Expressway 83 ,6914 W. Expressway 83 ,"Harlingen, TX 78552","Harlingen, TX 78552",,,(956) 423-0523,,,American Red Cross,American Red Cross,26.1878597,-97.7620859,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Florida Gulf Coast to Heartland Chapter,Florida Gulf Coast to Heartland Chapter,Administrative,1,Chapter,District,2,,"7051 Cypress Terrace, #110 ","7051 Cypress Terrace, #110 ","Fort Myers, FL 33907","Fort Myers, FL 33907",,,(239) 278-3401,,,American Red Cross,American Red Cross,26.5416419,-81.8724947,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Palm Beach and Treasure Coast Chapter,Palm Beach and Treasure Coast Chapter,Administrative,1,Chapter,District,2,,1250 Northpoint Parkway ,1250 Northpoint Parkway ,"West Palm Beach, FL 33407","West Palm Beach, FL 33407",,,(561) 833-7711,,,American Red Cross,American Red Cross,26.7630582,-80.0974115,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Southwest Florida,Southwest Florida,Administrative,1,,Ward,3,,2001 Cantu Ct. ,2001 Cantu Ct. ,"Sarasota, FL 34232","Sarasota, FL 34232",,,941-379-9300,,,American Red Cross,American Red Cross,27.3189029,-82.4488024,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Coastal Bend,Coastal Bend,Administrative,1,,Ward,3,,"4639 Corona Drive, Suite 101 ","4639 Corona Drive, Suite 101 ","Corpus Christi, TX 78411","Corpus Christi, TX 78411",,,(361) 887-9991,,,American Red Cross,American Red Cross,27.7128894,-97.3884998,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Tampa Bay (Regional Headquarters),Tampa Bay (Regional Headquarters),Administrative,1,Regional Headquarters,Provincial,1,,3310 W. Main St ,3310 W. Main St ,"Tampa, FL 33607","Tampa, FL 33607",,,813-348-4820,,,American Red Cross,American Red Cross,27.9568988,-82.4984221,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Mid-Florida,Mid-Florida,Administrative,1,,Ward,3,,"147 Avenue A, NW ","147 Avenue A, NW ","Winter Haven, FL 33881","Winter Haven, FL 33881",,,863-294-5941,,,American Red Cross,American Red Cross,28.0232914,-81.7275336,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Florida's Space Coast,Florida's Space Coast,Administrative,1,,Ward,3,,"8245 Devereaux Drive, Suite 101 ","8245 Devereaux Drive, Suite 101 ","Viera, FL 32940","Viera, FL 32940",,,321-890-1002,,,American Red Cross,American Red Cross,28.2322058,-80.7149014,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Greater Orlando,Greater Orlando,Administrative,1,,Ward,3,,5 N. Bumby Ave. ,5 N. Bumby Ave. ,"Orlando, FL 32803","Orlando, FL 32803",,,407-894-4141,,,American Red Cross,American Red Cross,28.5426124,-81.3515002,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Greater San Antonio ,Greater San Antonio ,Administrative,1,,Ward,3,,3642 East Houston Street ,3642 East Houston Street ,"San Antonio, TX 78219","San Antonio, TX 78219",,,(210) 224-5151,,,American Red Cross,American Red Cross,29.4243973,-98.4272524,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Texas Coastal Plains Chapter,Texas Coastal Plains Chapter,Administrative,1,Chapter,District,2,,2610 B F Terry Blvd. ,2610 B F Terry Blvd. ,"Rosenberg, TX 77471","Rosenberg, TX 77471",,,(281) 342-9480,,,American Red Cross,American Red Cross,29.5458991,-95.7714177,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Greater Houston,Greater Houston,Administrative,1,,Ward,3,,2700 Southwest Freeway ,2700 Southwest Freeway ,"Houston, TX 77098","Houston, TX 77098",,,(713) 526-8300,,,American Red Cross,American Red Cross,29.731586,-95.4203861,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Southeast Louisiana - Greater Orleans Area (Regional Headquarters),Southeast Louisiana - Greater Orleans Area (Regional Headquarters),Administrative,1,Regional Headquarters,Provincial,1,,2626 Canal St. ,2626 Canal St. ,"New Orleans, LA 70119","New Orleans, LA 70119",,,(504) 620-3150,,,American Red Cross,American Red Cross,29.9645389,-90.0867242,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
