,,,,
,Category Name,Category Group Name to use (in Procurement reports),Category Family Name to use (in Procurement reports),SPARK Item Category
,IFRC/ICRC Catalog,Other,IFRC/ICRC Catalog,Other
,IFRC Item and Services,Other,IFRC Item and Services,Other
,Administration,Administration,Administration Items,Administration
,Audio Accessories,Administration,Office Equipment,Administration
,Loudspeakers,Administration,Office Equipment,Administration
,Miscellanous Items (Audio Accessories),Administration,Office Equipment,Administration
,Food (Administration),Administration,Administration Items,Administration
,Beans (Food (Administration)),Administration,Administration Items,Administration
,Biscuits (Food (Administration)),Administration,Administration Items,Administration
,Carrot (Food (Administration)),Administration,Administration Items,Administration
,Cheese (Food (Administration)),Administration,Administration Items,Administration
,Chocolate,Administration,Administration Items,Administration
,Coffee Machines & Accessories (Food (Administration)),Administration,Administration Items,Administration
,Food Bar,Administration,Administration Items,Administration
,"Fruits, dry (Food (Administration))",Administration,Administration Items,Administration
,"Jam, fruit",Administration,Administration Items,Administration
,"Juice, fruit",Administration,Administration Items,Administration
,Margarine,Administration,Administration Items,Administration
,Meal ready to eat,Administration,Administration Items,Administration
,Meals,Administration,Administration Items,Administration
,Meat (Food (Administration)),Administration,Administration Items,Administration
,Mineral Water,Administration,Administration Items,Administration
,Mushrooms,Administration,Administration Items,Administration
,Noodle,Administration,Administration Items,Administration
,Peas (Food (Administration)),Administration,Administration Items,Administration
,Pepper (Food (Administration)),Administration,Administration Items,Administration
,Rice & Rice Products (Food (Administration)),Administration,Administration Items,Administration
,Salt (Food (Administration)),Administration,Administration Items,Administration
,Sardines,Administration,Administration Items,Administration
,Soup,Administration,Administration Items,Administration
,Sugar (Food (Administration)),Administration,Administration Items,Administration
,Sweets (Food (Administration)),Administration,Administration Items,Administration
,"Tea, bags (Food (Administration))",Administration,Administration Items,Administration
,Tomatoes (Food (Administration)),Administration,Administration Items,Administration
,Vegetable oil,Administration,Administration Items,Administration
,Forms (Administration),Administration,Stationeries & Office Supplies,Administration
,Administrative for,Administration,Stationeries & Office Supplies,Administration
,Airway Bills,Administration,Stationeries & Office Supplies,Administration
,Arrival,Administration,Stationeries & Office Supplies,Administration
,Bin Card,Administration,Stationeries & Office Supplies,Administration
,Cards (Forms (Administration)),Administration,Stationeries & Office Supplies,Administration
,Cargo,Administration,Stationeries & Office Supplies,Administration
,Claim,Administration,Stationeries & Office Supplies,Administration
,Diploma,Administration,Stationeries & Office Supplies,Administration
,Dispatch,Administration,Stationeries & Office Supplies,Administration
